Year,Combined,Breast,Colorectum,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Ovary,Pancreas,Stomach,Uterus
1930,189.8,30.1,27.1,2.1,19.3,2.6,4.4,3.8,35.2,36.3
1931,189.4,30.6,27.7,2.3,18.6,2.6,4.8,4.1,33.8,36.5
1932,191.3,30.9,28.5,2.5,18.6,2.8,5,4.5,33.7,36.7
1933,188.3,30.8,28.7,2.5,17.4,3,5,4.3,32.5,35.6
1934,190.4,31.6,29.7,2.9,17,3.1,5.7,4.4,31.6,35.6
1935,191.8,31.3,30.2,2.8,16.5,3.5,5.9,4.7,31.4,35.7
1936,194.8,32,31.5,2.9,16.1,3.9,6.1,5.1,30.9,36
1937,191.1,31.6,31.9,3.1,15.4,3.8,6.2,5,29.2,35.6
1938,191.7,32.4,32.4,3.2,14.9,4.1,6.7,5.4,28.9,34.4
1939,192.7,32.5,33,3.5,14.1,4.1,7.1,5.6,26.9,34.3
1940,193.8,33.8,33.5,3.9,13.6,4.1,7,5.4,25.7,34
1941,190,32.7,33.1,3.9,13.3,4.6,7.4,5.7,24.6,32.7
1942,190.5,32.8,33.1,4,13.4,4.7,7.3,5.6,25,32.1
1943,190.4,32.6,34.1,4,14.1,4.9,7.2,5.2,23.5,32.4
1944,188.2,32,34.3,4.1,13.7,5.1,7.4,5.5,22.5,31.9
1945,189.4,32.9,34.5,4.4,12.9,5.3,7.5,5.9,22.2,31.6
1946,189,33,34.5,4.5,12.3,5.5,8,6,21.1,30.9
1947,191.1,33.5,35.2,4.8,12.2,6.1,8.3,6.2,20.7,30.6
1948,191.8,34.6,34.8,5.1,11.3,6.4,8.7,6.7,20.6,29.4
1949,184.8,31.9,33.2,5.2,10.5,5.6,8.8,6.9,18.5,27
1950,181.9,31.9,32.3,5.7,9.8,5.8,8.9,6.8,17.6,26.2
1951,180,31.6,31.9,5.8,9.4,5.9,9.1,6.7,16.5,24.5
1952,180.5,31.6,31.5,6.2,9.5,6.1,9.5,7.1,16.1,23.8
1953,179,32.2,31.4,6,9.2,6,9.6,7.1,15.6,23.6
1954,176.9,31.8,31.2,6.2,8.7,6,9.9,7.3,14.8,22.5
