Year,Combined,Breast,Colorectum,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Ovary,Uterus
1975,365.9,105.1,53.7,10,1.6,24.5,16.3,35.5
1976,367.5,102,54.1,10.2,1.8,27.3,15.9,34.4
1977,363.8,100.8,54.9,10.2,1.6,28.3,15.6,31.7
1978,362.2,100.6,55.3,9.8,1.6,29.6,15.4,30.1
1979,365.5,102.1,54.6,9.7,1.7,31.6,15.4,27.9
1980,368.1,102.3,56.5,9.8,1.7,32.2,15.5,27.3
1981,377.2,106.4,56.5,9.7,1.7,35.1,15.4,27.3
1982,376.3,106.5,54.5,9.7,1.9,36.7,15.6,26.8
1983,380.7,111.1,55.6,9.9,1.6,37.9,16,26.5
1984,392.5,116,56.1,10.1,1.9,39.5,16.3,25.7
1985,403.2,124.3,57.3,10.4,1.7,40.2,16.5,25.2
1986,402.3,126.8,54.7,9.5,2,42.3,15,24.4
1987,413.3,134.5,52.7,10.3,2.2,44.2,16.1,24.7
1988,409.3,131.4,51.8,9.7,1.8,46.3,15.3,23.6
1989,408.4,127.2,52.4,10.5,2.2,46.1,15.5,24.4
1990,415.6,131.9,51.3,9.8,2.3,47.8,15.4,25
1991,419,133.9,50,10.2,2.6,49.6,15.8,24.6
1992,414.8,132.1,49.2,9.8,2.4,49.8,14.9,24.8
1993,408.3,129.2,48.3,10.1,2.5,49.2,15.3,24.3
1994,413.6,131,47.7,10.2,2.5,50.5,14.5,25.1
1995,415,132.7,46.9,10.5,2.8,50.4,14.6,25.3
1996,418.2,133.8,46.7,10.4,3.1,51.2,14.1,24.9
1997,428.5,138,47.9,10,3.2,52.6,14.7,25.9
1998,434.1,141.5,49.3,10.3,3.1,53,14.4,25.7
1999,430.8,141.5,47.8,9.7,3.4,52.5,14.7,25.3
2000,422.4,136.6,46.8,10.7,3.2,51.2,14.3,24.8
2001,427.3,138.8,46.2,11.2,3.2,51.7,14.6,25.3
2002,428.5,135.8,46.6,10.3,3.3,52.5,13.9,24.9
2003,417.7,127.1,43.9,10.5,3.3,53.1,13.7,24.4
2004,420.5,128.1,43.2,10.7,3.3,52.1,13.4,25.1
2005,420.4,126.8,41.9,10.6,3.8,53.8,13,25
2006,420.7,126.6,41.7,11.5,3.8,53.5,13,24.6
2007,422.8,128.6,40.8,10.5,3.8,53.7,13.1,25.3
2008,426.5,128.8,40.2,11.1,4.2,51.9,13,26.1
2009,431.3,131.4,38.7,11,4.2,52.4,13.1,27.4
2010,422,127.6,36.1,11.5,4.4,50.2,12.9,27.5
2011,423.1,131,35.1,11.9,4.6,49.6,12.4,27.2
2012,424.5,131.1,34.6,12.3,4.5,49,12.2,27.7
2013,422.6,132.2,33,12.2,4.7,48.9,11.7,27.2
