Year,Combined,Colorectum,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Prostate
1975,258.4,33.2,10.9,5.9,77.2,30.8
1976,262.2,33.8,10.8,5.9,79.3,31.6
1977,264.2,33.7,10.8,6,81.2,31.7
1978,267.1,34.2,10.8,6,82.8,32.6
1979,268.7,34,11,5.9,83.5,32.7
1980,271.1,34.2,11.2,5.8,85.3,33.3
1981,269.8,33.4,10.9,6.1,85.7,33.2
1982,272.9,33.5,11,6.1,87.4,33.4
1983,274.1,33.6,10.9,6.2,87.7,33.9
1984,275.1,33.5,10.7,6.2,88.8,34.1
1985,275.7,33.2,10.7,6.2,89.1,33.9
1986,276,32.6,10.7,6.3,89.5,34.9
1987,276.3,32.4,10.3,6.3,90.6,35.1
1988,276.9,31.6,10.6,6.5,90.4,35.9
1989,278.5,31.3,10.6,6.7,90.4,37.1
1990,279.8,31.3,10.7,6.8,91.1,38.6
1991,279.1,30.2,10.5,6.9,90.4,39.3
1992,276.5,29.8,10.7,7.2,88.6,39.2
1993,275.9,29.1,10.7,7.2,88.1,39.3
1994,272.1,28.8,10.6,7.4,86.1,38.5
1995,268.5,28.2,10.8,7.7,84.8,37.3
1996,263.7,27.2,10.5,7.8,83.3,36
1997,258.1,26.8,10.4,7.8,81.8,34.2
1998,253.6,26.1,10.1,8,80.3,32.6
1999,252.8,26,10.2,7.7,77.3,31.6
2000,248.5,25.5,10.3,8,76.8,30.4
2001,245,24.8,10.2,8.1,75.7,29.5
2002,241.6,24.4,10.2,8.3,74,28.7
2003,235.8,23.6,10,8.5,72.3,27.2
2004,230.3,22.3,9.8,8.5,70.7,26.2
2005,228.1,21.7,9.8,8.8,69.7,25.4
2006,222.6,21.1,9.7,8.7,67.6,24.2
2007,219.3,20.7,9.5,8.9,65.4,24.2
2008,215.3,20.1,9.5,9.3,63.9,23
2009,211.2,19.5,9.5,9.6,61.7,22.1
2010,208.8,19.2,9.3,9.7,60.3,21.8
2011,204.3,18.5,9.3,10,58.1,20.8
2012,200.5,18,9.2,10.3,56.4,19.6
2013,196.2,17.8,9.1,10.5,54.1,19.2
